iter	Passed	Remaining
526	31816	28556
527	31869	28489
528	31922	28422
529	31975	28355
530	32031	28291
531	32087	28227
532	32136	28157
533	32195	28095
534	32249	28029
535	32302	27963
536	32351	27893
537	32400	27823
538	32449	27753
539	32516	27699
540	32573	27635
541	32629	27572
542	32693	27515
543	32749	27451
544	32796	27380
545	32850	27315
546	32909	27254
547	32969	27193
548	33035	27138
549	33088	27072
550	33149	27013
551	33226	26966
552	33292	26910
553	33363	26859
554	33437	26810
555	33501	26752
556	33561	26692
557	33632	26641
558	33686	26575
559	33751	26519
560	33814	26460
561	33878	26403
562	33937	26342
563	33998	26282
564	34052	26217
565	34107	26153
566	34175	26098
567	34231	26035
568	34292	25975
569	34382	25937
570	34449	25882
571	34504	25818
572	34571	25762
573	34633	25703
574	34689	25640
575	34750	25579
576	34803	25514
577	34866	25456
578	34925	25395
579	34982	25332
580	35033	25265
581	35085	25199
582	35147	25139
583	35198	25072
584	35252	25007
585	35306	24943
586	35361	24879
587	35414	24814
588	35470	24751
589	35529	24689
590	35583	24625
591	35643	24565
592	35697	24500
593	35753	24437
594	35810	24375
595	35864	24310
596	35919	24247
597	35976	24184
598	36030	24120
599	36080	24053
600	36144	23995
601	36206	23936
602	36262	23874
603	36328	23818
604	36387	23756
605	36450	23699
606	36514	23641
607	36578	23583
608	36642	23526
609	36709	23469
610	36773	23412
611	36832	23351
612	36889	23289
613	36956	23233
614	37017	23173
615	37089	23120
616	37169	23072
617	37236	23016
618	37295	22955
619	37361	22899
620	37433	22845
621	37491	22784
622	37545	22720
623	37604	22659
624	37664	22598
625	37736	22545
626	37809	22492
627	37901	22451
628	37970	22396
629	38031	22335
630	38096	22278
631	38158	22218
632	38221	22159
633	38286	22102
634	38342	22039
635	38399	21977
636	38457	21915
637	38511	21851
638	38575	21793
639	38637	21733
640	38698	21673
641	38759	21613
642	38826	21556
643	38889	21497
644	38953	21439
645	39015	21380
646	39078	21321
647	39138	21260
648	39199	21200
649	39281	21151
650	39352	21096
651	39418	21039
652	39477	20978
653	39533	20915
654	39590	20852
655	39650	20792
656	39722	20737
657	39792	20682
658	39862	20626
659	39934	20572
660	40003	20516
661	40083	20465
662	40134	20400
663	40189	20336
664	40246	20274
